"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Fabric - By Property → By Property - Lightweight","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Use Case → By Use Case - Home Decor","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Style → By Style - Leather","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Property → By Property - Wrinkle Resistant","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Use Case → By Use Case - Upholstery","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Texture → By Texture - Textured","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Style → By Style - Sheer","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Style → By Style - Canvas","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Texture → By Texture - Glossy","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","1","Fabric - By Texture → By Texture - Knitted","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","89740","Fabric - By Style → By Style - Polyester","chromium","2026-05-19","passed","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Property → By Property - Sheer","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","17858","Fabric - By Style → By Style - Satin","chromium","2026-05-19","failed","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Style → By Style - Linen","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Style → By Style - PVC","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Texture → By Texture - Smooth/Matte","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Property → By Property - Heavyweight","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Property → By Property - Stretchable","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Property → By Property - Water Repellent","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Texture → By Material - Mesh","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
"","0","Fabric - By Use Case → By Use Case - Outdoor","chromium","2026-05-19","skipped","2026-05-19","Fabrics E2E","","",""
